x1 x2 v a psi kappa t
-0.759380 0.177199 1.120000 0.000000 3.018613 -0.572000 0.669643
-0.769304 0.178426 1.120000 0.000000 3.012893 -0.585000 0.678571
-0.779222 0.179710 1.120000 0.000000 3.007043 -0.598000 0.687500
-0.789131 0.181051 1.120000 0.000000 3.001063 -0.611000 0.696429
-0.799033 0.182452 1.120000 0.000000 2.994953 -0.624000 0.705357
-0.808925 0.183913 1.120000 0.000000 2.988713 -0.637000 0.714286
-0.818809 0.185436 1.120000 0.000000 2.982343 -0.650000 0.723214
-0.828682 0.187022 1.120000 0.000000 2.975843 -0.663000 0.732143
-0.838545 0.188671 1.120000 0.000000 2.969213 -0.676000 0.741071
-0.848397 0.190387 1.120000 0.000000 2.962453 -0.689000 0.750000
-0.858237 0.192169 1.120000 0.000000 2.955563 -0.702000 0.758929
-0.868064 0.194018 1.120000 0.000000 2.948543 -0.715000 0.767857
-0.877879 0.195937 1.120000 0.000000 2.941393 -0.728000 0.776786
-0.887679 0.197925 1.120000 0.000000 2.934113 -0.741000 0.785714
-0.897464 0.199985 1.120000 0.000000 2.926703 -0.754000 0.794643
-0.907234 0.202118 1.120000 0.000000 2.919163 -0.767000 0.803571
-0.916988 0.204324 1.120000 0.000000 2.911493 -0.780000 0.812500
-0.926724 0.206604 1.120000 0.000000 2.903693 -0.793000 0.821429
-0.936443 0.208961 1.120000 0.000000 2.895763 -0.806000 0.830357
-0.946142 0.211395 1.120000 0.000000 2.887703 -0.819000 0.839286
-0.955822 0.213906 1.120000 0.000000 2.879513 -0.832000 0.848214
-0.965480 0.216497 1.120000 0.000000 2.871193 -0.845000 0.857143
-0.975117 0.219168 1.120000 0.000000 2.862743 -0.858000 0.866071
-0.984731 0.221921 1.120000 0.000000 2.854163 -0.871000 0.875000
-0.994320 0.224756 1.120000 0.000000 2.845453 -0.884000 0.883929
-1.003885 0.227674 1.120000 0.000000 2.836613 -0.897000 0.892857
-1.013423 0.230677 1.120000 0.000000 2.827643 -0.910000 0.901786
-1.022935 0.233765 1.120000 0.000000 2.818543 -0.923000 0.910714
-1.032417 0.236940 1.120000 0.000000 2.809313 -0.936000 0.919643
-1.041870 0.240202 1.120000 0.000000 2.799953 -0.949000 0.928571
-1.051292 0.243552 1.120000 0.000000 2.790463 -0.962000 0.937500
-1.060682 0.246992 1.120000 0.000000 2.780843 -0.975000 0.946429
-1.070039 0.250521 1.120000 0.000000 2.771093 -0.988000 0.955357
-1.079360 0.254142 1.120000 0.000000 2.761213 -1.001000 0.964286
-1.088645 0.257855 1.120000 0.000000 2.751203 -1.014000 0.973214
-1.097893 0.261660 1.120000 0.000000 2.741063 -1.027000 0.982143
-1.107102 0.265559 1.120000 0.000000 2.730793 -1.040000 0.991071
-1.116270 0.269553 1.120000 0.000000 2.720393 -1.053000 1.000000
-1.125396 0.273641 1.120000 0.000000 2.709863 -1.066000 1.008929
-1.134478 0.277826 1.120000 0.000000 2.699203 -1.079000 1.017857
-1.143515 0.282107 1.120000 0.000000 2.688413 -1.092000 1.026786
-1.152506 0.286485 1.120000 0.000000 2.677493 -1.105000 1.035714
-1.161448 0.290961 1.120000 0.000000 2.666443 -1.118000 1.044643
-1.170340 0.295536 1.120000 0.000000 2.655263 -1.131000 1.053571
-1.179181 0.300210 1.120000 0.000000 2.643953 -1.144000 1.062500
-1.187968 0.304983 1.120000 0.000000 2.632513 -1.157000 1.071429
-1.196700 0.309857 1.120000 0.000000 2.620943 -1.170000 1.080357
-1.205375 0.314832 1.120000 0.000000 2.609243 -1.183000 1.089286
-1.213991 0.319907 1.120000 0.000000 2.597413 -1.196000 1.098214
-1.222547 0.325084 1.120000 0.000000 2.585453 -1.209000 1.107143
-1.231040 0.330363 1.120000 0.000000 2.573363 -1.222000 1.116071
-1.239468 0.335745 1.120000 0.000000 2.561143 -1.235000 1.125000
-1.247830 0.341229 1.120000 0.000000 2.548793 -1.248000 1.133929
-1.256124 0.346816 1.120000 0.000000 2.536313 -1.261000 1.142857
-1.264348 0.352506 1.120000 0.000000 2.523703 -1.274000 1.151786
-1.272499 0.358299 1.120000 0.000000 2.510963 -1.287000 1.160714
-1.280575 0.364195 1.120000 0.000000 2.498093 -1.300000 1.169643
-1.288575 0.370195 1.120000 0.000000 2.485093 -1.313000 1.178571
-1.296496 0.376299 1.120000 0.000000 2.471963 -1.326000 1.187500
-1.304337 0.382506 1.120000 0.000000 2.458703 -1.339000 1.196429
-1.312094 0.388816 1.120000 0.000000 2.445313 -1.352000 1.205357
-1.319767 0.395230 1.120000 0.000000 2.431793 -1.365000 1.214286
-1.327352 0.401747 1.120000 0.000000 2.418143 -1.378000 1.223214
-1.334847 0.408366 1.120000 0.000000 2.404363 -1.391000 1.232143
-1.342250 0.415089 1.120000 0.000000 2.390453 -1.404000 1.241071
-1.349559 0.421914 1.120000 0.000000 2.376413 -1.417000 1.250000
-1.356772 0.428840 1.120000 0.000000 2.362243 -1.430000 1.258929
-1.363886 0.435868 1.120000 0.000000 2.347943 -1.443000 1.267857
-1.370898 0.442998 1.120000 0.000000 2.333513 -1.430000 1.276786
-1.377807 0.450227 1.120000 0.000000 2.319213 -1.417000 1.285714
-1.384612 0.457555 1.120000 0.000000 2.305043 -1.404000 1.294643
-1.391312 0.464978 1.120000 0.000000 2.291003 -1.391000 1.303571
-1.397908 0.472495 1.120000 0.000000 2.277093 -1.378000 1.312500
-1.404398 0.480103 1.120000 0.000000 2.263313 -1.365000 1.321429
-1.410783 0.487799 1.120000 0.000000 2.249663 -1.352000 1.330357
-1.417062 0.495582 1.120000 0.000000 2.236143 -1.339000 1.339286
-1.423235 0.503449 1.120000 0.000000 2.222753 -1.326000 1.348214
-1.429302 0.511398 1.120000 0.000000 2.209493 -1.313000 1.357143
-1.435264 0.519427 1.120000 0.000000 2.196363 -1.300000 1.366071
-1.441119 0.527533 1.120000 0.000000 2.183363 -1.287000 1.375000
-1.446869 0.535715 1.120000 0.000000 2.170493 -1.274000 1.383929
-1.452513 0.543970 1.120000 0.000000 2.157753 -1.261000 1.392857
-1.458051 0.552296 1.120000 0.000000 2.145143 -1.248000 1.401786
-1.463484 0.560692 1.120000 0.000000 2.132663 -1.235000 1.410714
-1.468812 0.569154 1.120000 0.000000 2.120313 -1.222000 1.419643
-1.474035 0.577682 1.120000 0.000000 2.108093 -1.209000 1.428571
-1.479153 0.586273 1.120000 0.000000 2.096003 -1.196000 1.437500
-1.484167 0.594925 1.120000 0.000000 2.084043 -1.183000 1.446429
-1.489077 0.603637 1.120000 0.000000 2.072213 -1.170000 1.455357
-1.493883 0.612406 1.120000 0.000000 2.060513 -1.157000 1.464286
-1.498587 0.621230 1.120000 0.000000 2.048943 -1.144000 1.473214
-1.503189 0.630109 1.120000 0.000000 2.037503 -1.131000 1.482143
-1.507688 0.639039 1.120000 0.000000 2.026193 -1.118000 1.491071
-1.512086 0.648020 1.120000 0.000000 2.015013 -1.105000 1.500000
-1.516384 0.657050 1.120000 0.000000 2.003963 -1.092000 1.508929
-1.520581 0.666126 1.120000 0.000000 1.993043 -1.079000 1.517857
-1.524679 0.675248 1.120000 0.000000 1.982253 -1.066000 1.526786
-1.528679 0.684413 1.120000 0.000000 1.971593 -1.053000 1.535714
-1.532580 0.693621 1.120000 0.000000 1.961063 -1.040000 1.544643
-1.536385 0.702869 1.120000 0.000000 1.950663 -1.027000 1.553571
-1.540093 0.712156 1.120000 0.000000 1.940393 -1.014000 1.562500
-1.543705 0.721481 1.120000 0.000000 1.930253 -1.001000 1.571429
-1.547223 0.730842 1.120000 0.000000 1.920243 -0.988000 1.580357
-1.550646 0.740237 1.120000 0.000000 1.910363 -0.975000 1.589286
-1.553977 0.749666 1.120000 0.000000 1.900613 -0.962000 1.598214
-1.557216 0.759127 1.120000 0.000000 1.890993 -0.949000 1.607143
-1.560363 0.768619 1.120000 0.000000 1.881503 -0.936000 1.616071
-1.563421 0.778140 1.120000 0.000000 1.872143 -0.923000 1.625000
-1.566389 0.787690 1.120000 0.000000 1.862913 -0.910000 1.633929
-1.569269 0.797266 1.120000 0.000000 1.853813 -0.897000 1.642857
-1.572061 0.806868 1.120000 0.000000 1.844843 -0.884000 1.651786
-1.574767 0.816495 1.120000 0.000000 1.836003 -0.871000 1.660714
-1.577388 0.826145 1.120000 0.000000 1.827293 -0.858000 1.669643
-1.579925 0.835818 1.120000 0.000000 1.818713 -0.845000 1.678571
-1.582379 0.845512 1.120000 0.000000 1.810263 -0.832000 1.687500
-1.584751 0.855227 1.120000 0.000000 1.801943 -0.819000 1.696429
-1.587042 0.864961 1.120000 0.000000 1.793753 -0.806000 1.705357
-1.589253 0.874714 1.120000 0.000000 1.785693 -0.793000 1.714286
-1.591386 0.884484 1.120000 0.000000 1.777763 -0.780000 1.723214
-1.593440 0.894270 1.120000 0.000000 1.769963 -0.767000 1.732143
-1.595419 0.904072 1.120000 0.000000 1.762293 -0.754000 1.741071
-1.597322 0.913890 1.120000 0.000000 1.754753 -0.741000 1.750000
-1.599152 0.923721 1.120000 0.000000 1.747343 -0.728000 1.758929
-1.600908 0.933565 1.120000 0.000000 1.740063 -0.715000 1.767857
-1.602592 0.943423 1.120000 0.000000 1.732913 -0.702000 1.776786
-1.604206 0.953291 1.120000 0.000000 1.725893 -0.689000 1.785714
-1.605751 0.963171 1.120000 0.000000 1.719003 -0.676000 1.794643
-1.607228 0.973062 1.120000 0.000000 1.712243 -0.663000 1.803571
-1.608638 0.982962 1.120000 0.000000 1.705613 -0.650000 1.812500
